type,algorithm,condition,N,V_bytes,K,T_ms
double,InsertionSort,Worst,10000,0,100009998,14.6898
double,InsertionSort,Uniform,10000,0,50025214,6.95078
double,InsertionSort,Normal,10000,0,50018071,6.94291
double,InsertionSort,Best,10000,0,29997,0.00675
double,InsertionSort,Worst,20000,0,400019998,52.2103
double,InsertionSort,Uniform,20000,0,200108195,33.4459
double,InsertionSort,Normal,20000,0,200045205,26.4457
double,InsertionSort,Best,20000,0,59997,0.010667
double,InsertionSort,Worst,50000,0,2500049998,331.95
double,InsertionSort,Uniform,50000,0,1249982384,164.206
double,InsertionSort,Normal,50000,0,1250403703,164.29
double,InsertionSort,Best,50000,0,149997,0.029166
double,InsertionSort,Worst,100000,0,10000099998,1320.52
double,InsertionSort,Uniform,100000,0,4997282485,12610
double,QuickSort,Worst,10000,0,640761,0.150791
double,QuickSort,Uniform,10000,0,391788,0.408258
double,QuickSort,Normal,10000,0,394029,0.41335
double,QuickSort,Best,10000,0,336510,0.054875
double,QuickSort,Worst,20000,0,1414936,0.280333
double,QuickSort,Uniform,20000,0,837143,0.890927
double,QuickSort,Normal,20000,0,843848,0.859248
double,QuickSort,Best,20000,0,722991,0.108
double,QuickSort,Worst,50000,0,3881872,0.732666
double,QuickSort,Uniform,50000,0,2291487,2.36167
double,QuickSort,Normal,50000,0,2299851,2.38588
double,QuickSort,Best,50000,0,2009705,0.304875
double,QuickSort,Worst,100000,0,8421073,1.57217
double,QuickSort,Uniform,100000,0,4912918,4.92569
double,QuickSort,Normal,100000,0,4889039,4.9448
double,QuickSort,Best,100000,0,4269386,0.602667
double,QuickSort,Worst,200000,0,18159919,3.3655
double,QuickSort,Uniform,200000,0,10391810,10.9715
double,QuickSort,Normal,200000,0,10381214,11.4853
double,QuickSort,Best,200000,0,9038747,1.39058
double,QuickSort,Worst,500000,0,49912069,10.0776
double,QuickSort,Uniform,500000,0,27924665,30.862
double,QuickSort,Normal,500000,0,28027626,32.1375
double,QuickSort,Best,500000,0,23674671,4.15317
double,QuickSort,Worst,1000000,0,106439401,23.4473
double,QuickSort,Uniform,1000000,0,58782562,66.0865
double,QuickSort,Normal,1000000,0,58774498,63.1261
double,QuickSort,Best,1000000,0,49849312,7.27937
double,MergeSort,Worst,10000,1068928,336240,0.603042
double,MergeSort,Uniform,10000,1068928,387680,0.940283
double,MergeSort,Normal,10000,1068928,387691,0.965514
double,MergeSort,Best,10000,1068928,331840,0.5715
double,MergeSort,Worst,20000,2297856,722480,1.14517
double,MergeSort,Uniform,20000,2297856,835354,1.95438
double,MergeSort,Normal,20000,2297856,835359,2.01452
double,MergeSort,Best,20000,2297856,713680,1.16542
double,MergeSort,Worst,50000,6275712,1970880,2.93079
double,MergeSort,Uniform,50000,6275712,2287122,5.47726
double,MergeSort,Normal,50000,6275712,2287102,5.75664
double,MergeSort,Best,50000,6275712,1951440,3.26479
double,MergeSort,Worst,100000,13351424,4191760,6.31483
double,MergeSort,Uniform,100000,13351424,4874217,12.0952
double,MergeSort,Normal,100000,13351424,4874215,12.1477
double,MergeSort,Best,100000,13351424,4152880,6.68208
double,MergeSort,Worst,200000,28302848,8883520,13.6114
double,MergeSort,Uniform,200000,28302848,10348444,25.8672
double,MergeSort,Normal,200000,28302848,10348407,25.3657
double,MergeSort,Best,200000,28302848,8805760,13.7368
double,MergeSort,Worst,500000,75805696,23734640,32.921
double,MergeSort,Uniform,500000,75805696,27788575,71.5763
double,MergeSort,Normal,500000,75805696,27788534,19095.9
double,HeapSort,Worst,10000,0,640328,0.833167
double,HeapSort,Uniform,10000,0,607962,0.766491
double,HeapSort,Normal,10000,0,607992,0.726242
double,HeapSort,Best,10000,0,576770,0.635334
double,HeapSort,Worst,20000,0,1377708,1.42362
double,HeapSort,Uniform,20000,0,1315969,1.59669
double,HeapSort,Normal,20000,0,1316031,1.66427
double,HeapSort,Best,20000,0,1256309,1.42912
double,HeapSort,Worst,50000,0,3775350,4.08087
double,HeapSort,Uniform,50000,0,3622323,6.18127
double,HeapSort,Normal,50000,0,3622212,7.96599
double,HeapSort,Best,50000,0,3462723,5.88967
double,HeapSort,Worst,100000,0,8065079,12.9217
double,HeapSort,Uniform,100000,0,7744347,12.6821
double,HeapSort,Normal,100000,0,7744460,10.3464
double,HeapSort,Best,100000,0,7418942,8.239
double,HeapSort,Worst,200000,0,17124392,18.3045
double,HeapSort,Uniform,200000,0,16488960,19.9505
double,HeapSort,Normal,200000,0,16488759,20.3817
double,HeapSort,Best,200000,0,15843487,16.5403
double,HeapSort,Worst,500000,0,45904885,47.7672
double,HeapSort,Uniform,500000,0,44469956,55.8596
double,HeapSort,Normal,500000,0,44469330,54.873
double,HeapSort,Best,500000,0,42983347,43.2062
double,HeapSort,Worst,1000000,0,97055445,91.616
double,HeapSort,Uniform,1000000,0,93938548,119.19
double,HeapSort,Normal,1000000,0,93938596,120.239
double,HeapSort,Best,1000000,0,91001660,93.24
double,BubbleSort,Worst,10000,0,199980000,15.9587
double,BubbleSort,Uniform,10000,0,124920583,1294.2
double,BubbleSort,Normal,10000,0,125023436,28.2162
double,BubbleSort,Best,10000,0,49995000,13.531
double,BubbleSort,Worst,20000,0,799960000,69.6854
double,BubbleSort,Uniform,20000,0,499724269,113.555
double,BubbleSort,Normal,20000,0,499868382,115.178
double,BubbleSort,Best,20000,0,199990000,56.2525
double,BubbleSort,Worst,50000,0,4999900000,484.325
double,BubbleSort,Uniform,50000,0,3125585613,27005.2
double,SelectionSort,Worst,10000,0,50024997,177.53
double,SelectionSort,Uniform,10000,0,50024997,140.36
double,SelectionSort,Normal,10000,0,50024997,127.53
double,SelectionSort,Best,10000,0,50024997,127.253
double,SelectionSort,Worst,20000,0,200049997,493.902
double,SelectionSort,Uniform,20000,0,200049997,1348.81
double,SelectionSort,Normal,20000,0,200049997,29448.7
double,ShellSort,Worst,10000,0,475148,0.14475
double,ShellSort,Uniform,10000,0,658391,0.680949
double,ShellSort,Normal,10000,0,658007,0.679673
double,ShellSort,Best,10000,0,360015,0.064666
double,ShellSort,Worst,20000,0,1030268,0.232875
double,ShellSort,Uniform,20000,0,1506129,1.47763
double,ShellSort,Normal,20000,0,1507215,1.41639
double,ShellSort,Best,20000,0,780015,0.145459
double,ShellSort,Worst,50000,0,2844597,0.552833
double,ShellSort,Uniform,50000,0,4505947,3.94057
double,ShellSort,Normal,50000,0,4500512,4.03172
double,ShellSort,Best,50000,0,2100018,0.334833
double,ShellSort,Worst,100000,0,6089157,1.21717
double,ShellSort,Uniform,100000,0,10233443,8.25823
double,ShellSort,Normal,100000,0,10217345,8.16883
double,ShellSort,Best,100000,0,4500018,0.691
double,ShellSort,Worst,200000,0,12978277,2.48083
double,ShellSort,Uniform,200000,0,23332187,19.4611
double,ShellSort,Normal,200000,0,23309187,24.3139
double,ShellSort,Best,200000,0,9600018,1.95054
double,ShellSort,Worst,500000,0,33857544,8.56312
double,ShellSort,Uniform,500000,0,66379558,67.3689
double,ShellSort,Normal,500000,0,66257278,60.8237
double,ShellSort,Best,500000,0,25500021,4.7575
double,ShellSort,Worst,1000000,0,71715048,16.8947
double,ShellSort,Uniform,1000000,0,153387276,128.461
double,ShellSort,Normal,1000000,0,153291536,128.805
double,ShellSort,Best,1000000,0,54000021,10.1278
double,MultiThreadedInsertionSort,Worst,10000,822080,0,599.375
double,MultiThreadedInsertionSort,Uniform,10000,822080,0,23114.3
double,MultiThreadedQuickSort,Worst,10000,112,25012,0.121208
double,MultiThreadedQuickSort,Uniform,10000,112,23759,0.273704
double,MultiThreadedQuickSort,Normal,10000,112,24084,0.273071
double,MultiThreadedQuickSort,Best,10000,112,25006,0.052083
double,MultiThreadedQuickSort,Worst,20000,112,50012,0.183291
double,MultiThreadedQuickSort,Uniform,20000,112,48299,0.460937
double,MultiThreadedQuickSort,Normal,20000,112,51116,0.51314
double,MultiThreadedQuickSort,Best,20000,112,50006,0.1095
double,MultiThreadedQuickSort,Worst,50000,112,125012,0.693667
double,MultiThreadedQuickSort,Uniform,50000,112,125445,1.22694
double,MultiThreadedQuickSort,Normal,50000,112,121421,1.18614
double,MultiThreadedQuickSort,Best,50000,112,125006,0.420959
double,MultiThreadedQuickSort,Worst,100000,112,250012,2.08346
double,MultiThreadedQuickSort,Uniform,100000,112,255707,2.2491
double,MultiThreadedQuickSort,Normal,100000,112,249500,2.57211
double,MultiThreadedQuickSort,Best,100000,112,250006,1.17746
double,MultiThreadedQuickSort,Worst,200000,112,500012,6.12321
double,MultiThreadedQuickSort,Uniform,200000,112,511356,5.59019
double,MultiThreadedQuickSort,Normal,200000,112,474765,4.98526
double,MultiThreadedQuickSort,Best,200000,112,500006,1.98271
double,MultiThreadedQuickSort,Worst,500000,112,1250012,9.52058
double,MultiThreadedQuickSort,Uniform,500000,112,1275015,10.5988
double,MultiThreadedQuickSort,Normal,500000,112,1213016,9.72743
double,MultiThreadedQuickSort,Best,500000,112,1250006,3.95783
double,MultiThreadedQuickSort,Worst,1000000,112,2500012,19.8868
double,MultiThreadedQuickSort,Uniform,1000000,112,2398323,21.1118
double,MultiThreadedQuickSort,Normal,1000000,112,2517179,20.4531
double,MultiThreadedQuickSort,Best,1000000,112,2500006,8.3375
double,MultiThreadedMergeSort,Worst,10000,80080,25000,0.69275
double,MultiThreadedMergeSort,Uniform,10000,80080,29998,0.970759
double,MultiThreadedMergeSort,Normal,10000,80080,29998,0.972835
double,MultiThreadedMergeSort,Best,10000,80080,25000,0.636542
double,MultiThreadedMergeSort,Worst,20000,160080,50000,0.834083
double,MultiThreadedMergeSort,Uniform,20000,160080,59997,1.23162
double,MultiThreadedMergeSort,Normal,20000,160080,59997,1.22651
double,MultiThreadedMergeSort,Best,20000,160080,50000,1.1355
double,MultiThreadedMergeSort,Worst,50000,400080,125000,2.72713
double,MultiThreadedMergeSort,Uniform,50000,400080,149998,2.85795
double,MultiThreadedMergeSort,Normal,50000,400080,149998,2.83151
double,MultiThreadedMergeSort,Best,50000,400080,125000,1.80325
double,MultiThreadedMergeSort,Worst,100000,800080,250000,3.45187
double,MultiThreadedMergeSort,Uniform,100000,800080,299998,5.13069
double,MultiThreadedMergeSort,Normal,100000,800080,299997,5.46414
double,MultiThreadedMergeSort,Best,100000,800080,250000,3.87629
double,MultiThreadedMergeSort,Worst,200000,1600080,500000,8.46525
double,MultiThreadedMergeSort,Uniform,200000,1600080,599998,10.7271
double,MultiThreadedMergeSort,Normal,200000,1600080,599998,10.1823
double,MultiThreadedMergeSort,Best,200000,1600080,500000,6.58758
