type,algorithm,condition,N,V_bytes,K,T_ms
int,InsertionSort,Worst,10000,0,100009998,21.2427
int,InsertionSort,Uniform,10000,0,49984670,6.87352
int,InsertionSort,Normal,10000,0,50073377,6.86713
int,InsertionSort,Best,10000,0,29997,0.006333
int,InsertionSort,Worst,20000,0,400019998,54.8249
int,InsertionSort,Uniform,20000,0,200026564,27.5665
int,InsertionSort,Normal,20000,0,199963392,27.5324
int,InsertionSort,Best,20000,0,59997,0.010417
int,InsertionSort,Worst,50000,0,2500049998,335.404
int,InsertionSort,Uniform,50000,0,1250539594,191.627
int,InsertionSort,Normal,50000,0,1249733281,169.877
int,InsertionSort,Best,50000,0,149997,0.025292
int,InsertionSort,Worst,100000,0,10000099998,1291.2
int,InsertionSort,Uniform,100000,0,5001117300,655.085
int,InsertionSort,Normal,100000,0,4999430849,654.697
int,InsertionSort,Best,100000,0,299997,0.050208
int,InsertionSort,Worst,200000,0,40000199998,5170.93
int,InsertionSort,Uniform,200000,0,19998259524,2595.84
int,QuickSort,Worst,10000,0,640761,0.119291
int,QuickSort,Uniform,10000,0,387123,0.362213
int,QuickSort,Normal,10000,0,382452,0.350131
int,QuickSort,Best,10000,0,336510,0.056792
int,QuickSort,Worst,20000,0,1414936,0.255708
int,QuickSort,Uniform,20000,0,836238,0.762842
int,QuickSort,Normal,20000,0,830397,0.752856
int,QuickSort,Best,20000,0,722991,0.120458
int,QuickSort,Worst,50000,0,3881872,0.681917
int,QuickSort,Uniform,50000,0,2286564,2.06803
int,QuickSort,Normal,50000,0,2288413,2.02824
int,QuickSort,Best,50000,0,2009705,0.322208
int,QuickSort,Worst,100000,0,8421073,1.46329
int,QuickSort,Uniform,100000,0,4887532,4.37621
int,QuickSort,Normal,100000,0,4880398,4.28099
int,QuickSort,Best,100000,0,4269386,0.693292
int,QuickSort,Worst,200000,0,18159919,3.05854
int,QuickSort,Uniform,200000,0,10353686,9.36152
int,QuickSort,Normal,200000,0,10315269,142.522
int,QuickSort,Best,200000,0,9038747,1.31529
int,QuickSort,Worst,500000,0,49912069,7.90983
int,QuickSort,Uniform,500000,0,27718167,23.813
int,QuickSort,Normal,500000,0,27893531,29.9967
int,QuickSort,Best,500000,0,23674671,5.97354
int,QuickSort,Worst,1000000,0,106439401,29.9857
int,QuickSort,Uniform,1000000,0,58631099,67.0206
int,QuickSort,Normal,1000000,0,59078880,64.4754
int,QuickSort,Best,1000000,0,49849312,8.84529
int,MergeSort,Worst,10000,534464,336240,0.784958
int,MergeSort,Uniform,10000,534464,387678,1.11438
int,MergeSort,Normal,10000,534464,387691,1.12045
int,MergeSort,Best,10000,534464,331840,0.717166
int,MergeSort,Worst,20000,1148928,722480,1.38425
int,MergeSort,Uniform,20000,1148928,835375,2.31216
int,MergeSort,Normal,20000,1148928,835373,2.47498
int,MergeSort,Best,20000,1148928,713680,1.57371
int,MergeSort,Worst,50000,3137856,1970880,3.92062
int,MergeSort,Uniform,50000,3137856,2287118,7.05392
int,MergeSort,Normal,50000,3137856,2287128,7.43871
int,MergeSort,Best,50000,3137856,1951440,4.72967
int,MergeSort,Worst,100000,6675712,4191760,9.131
int,MergeSort,Uniform,100000,6675712,4874207,14.7077
int,MergeSort,Normal,100000,6675712,4874212,13.8536
int,MergeSort,Best,100000,6675712,4152880,8.54258
int,MergeSort,Worst,200000,14151424,8883520,16.6379
int,MergeSort,Uniform,200000,14151424,10348409,29.5947
int,MergeSort,Normal,200000,14151424,10348502,30.1229
int,MergeSort,Best,200000,14151424,8805760,16.9975
int,MergeSort,Worst,500000,37902848,23734640,41.0437
int,MergeSort,Uniform,500000,37902848,27788558,74.849
int,MergeSort,Normal,500000,37902848,27788543,17966.7
int,HeapSort,Worst,10000,0,640328,0.832833
int,HeapSort,Uniform,10000,0,607968,0.723366
int,HeapSort,Normal,10000,0,607808,0.671327
int,HeapSort,Best,10000,0,576770,0.5605
int,HeapSort,Worst,20000,0,1377708,1.26242
int,HeapSort,Uniform,20000,0,1315979,1.50525
int,HeapSort,Normal,20000,0,1315509,1.54611
int,HeapSort,Best,20000,0,1256309,1.32871
int,HeapSort,Worst,50000,0,3775350,3.94292
int,HeapSort,Uniform,50000,0,3622164,4.8361
int,HeapSort,Normal,50000,0,3620773,5.18143
int,HeapSort,Best,50000,0,3462723,4.93612
int,HeapSort,Worst,100000,0,8065079,11.0027
int,HeapSort,Uniform,100000,0,7744637,11.7208
int,HeapSort,Normal,100000,0,7740836,10.3934
int,HeapSort,Best,100000,0,7418942,9.70583
int,HeapSort,Worst,200000,0,17124392,20.8726
int,HeapSort,Uniform,200000,0,16488953,22.7871
int,HeapSort,Normal,200000,0,16480164,22.4334
int,HeapSort,Best,200000,0,15843487,17.8251
int,HeapSort,Worst,500000,0,45904885,50.7472
int,HeapSort,Uniform,500000,0,44469622,65.2777
int,HeapSort,Normal,500000,0,44443498,63.446
int,HeapSort,Best,500000,0,42983347,43.8092
int,HeapSort,Worst,1000000,0,97055445,95.8954
int,HeapSort,Uniform,1000000,0,93938875,124.599
int,HeapSort,Normal,1000000,0,93880027,130.07
int,HeapSort,Best,1000000,0,91001660,105.112
int,BubbleSort,Worst,10000,0,199980000,23.3365
int,BubbleSort,Uniform,10000,0,125024681,37.5816
int,BubbleSort,Normal,10000,0,124986001,35.2301
int,BubbleSort,Best,10000,0,49995000,17.9921
int,BubbleSort,Worst,20000,0,799960000,84.108
int,BubbleSort,Uniform,20000,0,499889396,148.212
int,BubbleSort,Normal,20000,0,499758902,154.072
int,BubbleSort,Best,20000,0,199990000,71.2126
int,BubbleSort,Worst,50000,0,4999900000,535.468
int,BubbleSort,Uniform,50000,0,3123965381,1060.22
int,BubbleSort,Normal,50000,0,3124389927,1032.99
int,BubbleSort,Best,50000,0,1249975000,484.386
int,BubbleSort,Worst,100000,0,19999800000,2410.23
int,BubbleSort,Uniform,100000,0,12502770707,14318.1
int,SelectionSort,Worst,10000,0,50024997,82.868
int,SelectionSort,Uniform,10000,0,50024997,77.7536
int,SelectionSort,Normal,10000,0,50024997,74.1683
int,SelectionSort,Best,10000,0,50024997,74.5343
int,SelectionSort,Worst,20000,0,200049997,291.704
